SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
LKOH,2007-10-08,10445,S,TRUE,-100,0.0012802286938303,2164,1
LKOH,2007-10-08,10458,B,TRUE,2.662175191619438,0.0079399029051741,2169,4
LKOH,2007-10-08,10481,S,TRUE,-7.349224179495194,0.0150970818276458,2164.1,0
LKOH,2007-10-08,10512,B,TRUE,-0.0046196417929711,0.001532830501516,2164.67,0
LKOH,2007-10-08,10523,S,TRUE,-100,0.0177020389835143,2164.79,1
LKOH,2007-10-08,10527,B,TRUE,60.012014731909744,0.0081336064609799,2164.01,3
LKOH,2007-10-08,10582,S,TRUE,4.621093443231e-4,0.0047895232247791,2163.99,0
LKOH,2007-10-08,10592,S,TRUE,0.013779087769433,0.0094756168980108,2163.98,0
LKOH,2007-10-08,10673,S,TRUE,0.0084139355502719,0.0130841328227457,2162.9,0
LKOH,2007-10-08,10718,S,TRUE,-3.555505184984449,0.0039430960117754,2162,0
LKOH,2007-10-08,10759,S,TRUE,-0.7676190272648015,0.0137756775509031,2158.1,0
LKOH,2007-10-08,10763,S,TRUE,-0.99158290461802,0.0140766012415269,2157.94,0
LKOH,2007-10-08,10891,B,TRUE,-0.0236440595459514,0.0013540510461841,2156.99,0
LKOH,2007-10-08,10921,B,TRUE,100,0.0020226700670547,2154.5,3
LKOH,2007-10-08,10924,B,TRUE,0.0995861805824969,0.0026407381109366,2155.01,0
LKOH,2007-10-08,10980,B,TRUE,100,0.011010589361573,2155.52,3
LKOH,2007-10-08,11043,B,TRUE,96.15884113567334,0.0014510852779274,2156.01,3
LKOH,2007-10-08,11060,S,TRUE,1.0246120052458711,0.0050308582590283,2157.89,0
LKOH,2007-10-08,11119,B,TRUE,100,0.0223885957312654,2156.8,3
LKOH,2007-10-08,11133,S,TRUE,-27.87704846952581,0.003734904068016,2157.88,0
LKOH,2007-10-08,11179,S,TRUE,-7.821068961212972,0.0025240316784108,2157.88,0
LKOH,2007-10-08,11223,B,TRUE,0.0927213722763097,0.0045523604291963,2157,0
LKOH,2007-10-08,11250,S,TRUE,-0.7490894049844056,0.0032504245274531,2157.39,0
LKOH,2007-10-08,11302,S,TRUE,-100,0.0016272453623059,2158.9,1
LKOH,2007-10-08,11310,B,TRUE,46.91359204740967,0.0051986149932588,2157.83,0
LKOH,2007-10-08,11339,B,TRUE,0.9359872042230044,0.0035512857167204,2160,0
LKOH,2007-10-08,11422,S,TRUE,0.0069545865498338,0.0188855422301053,2156.85,0
LKOH,2007-10-08,11433,B,TRUE,15.486252988021835,0.002221654789836,2156.87,0
LKOH,2007-10-08,11454,B,TRUE,0.0353898677268375,2.899980876299e-4,2155.55,0
LKOH,2007-10-08,11467,S,TRUE,-100,0.0040231724047666,2156,1
LKOH,2007-10-08,11489,S,TRUE,-0.3350880204709834,0.0023627191999404,2155,0
LKOH,2007-10-08,11499,S,TRUE,0.0051020644808244,2.566323773915e-4,2155.99,0
LKOH,2007-10-08,11547,B,TRUE,6.295523542301953,0.003466506505163,2155,0
LKOH,2007-10-08,11607,S,TRUE,-1.0836414995761865,0.0016082190811637,2154.03,0
LKOH,2007-10-08,11623,B,TRUE,10.592797113886958,0.0011234486106535,2153.35,0
LKOH,2007-10-08,11633,B,TRUE,100,0.0017620134245975,2154,3
LKOH,2007-10-08,11674,S,TRUE,-11.34671050970328,0.0042889995947237,2159.4,0
LKOH,2007-10-08,11722,B,TRUE,9.958188045519831,0.0010693589374845,2155,0
LKOH,2007-10-08,11777,S,TRUE,0,0.0035379385490975,2158.8,0
