,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
9078,LKOH,2007-10-08,35488,B,T,27.828282828282823,0.013804684433854098,2167.0
9080,LKOH,2007-10-08,35511,B,T,0.08724276759838327,0.007573743046678544,2167.15
9099,LKOH,2007-10-08,35584,B,T,0.00807262595603795,0.04944784714486268,2167.82
9104,LKOH,2007-10-08,35599,B,T,-0.04520295202952113,0.0009457670127640108,2168.0
9105,LKOH,2007-10-08,35602,S,T,0.015780515571982297,0.00012654946379532931,2168.82
9127,LKOH,2007-10-08,35676,S,T,-50.0,0.0004218974043384306,2167.15
9137,LKOH,2007-10-08,35703,S,T,-100.0,0.0006181426203572534,2168.64
9144,LKOH,2007-10-08,35727,B,T,0.6500052637583972,0.005410731544210707,2166.32
9150,LKOH,2007-10-08,35752,B,T,0.0014545012319795206,0.004684096447682939,2167.08
9162,LKOH,2007-10-08,35792,S,T,-33.31988738609248,0.011377125650278357,2168.37
9164,LKOH,2007-10-08,35796,S,T,-100.0,0.0003071127667391796,2167.93
9190,LKOH,2007-10-08,35886,S,T,0.019829649476372332,0.0016726791619481346,2168.47
9202,LKOH,2007-10-08,35940,B,T,-0.04095479704797403,0.0019008886471126821,2168.0
9210,LKOH,2007-10-08,35971,B,T,0.01615538712922967,0.0394944456944495,2166.46
9213,LKOH,2007-10-08,35981,B,T,99.99999999999999,0.004153413712331765,2166.47
9235,LKOH,2007-10-08,36039,B,T,100.0,0.0006921771805206079,2166.74
9236,LKOH,2007-10-08,36043,S,T,0.03459409594095941,0.005166964250248979,2168.0
9246,LKOH,2007-10-08,36080,S,T,0.0,0.08109930869959743,2167.87
9250,LKOH,2007-10-08,36096,S,T,0.0011117077634884378,0.0013524529294164538,2167.86
9254,LKOH,2007-10-08,36116,B,T,5.993716547325743e-05,0.025497191793463388,2166.78
9256,LKOH,2007-10-08,36120,B,T,0.0,0.019567978645257268,2167.0
9267,LKOH,2007-10-08,36158,B,T,100.0,0.002859568197367669,2167.1
9270,LKOH,2007-10-08,36173,B,T,0.004214006432439751,0.005317092003172371,2167.12
9284,LKOH,2007-10-08,36235,B,T,100.0,0.018208068772005665,2167.0
9285,LKOH,2007-10-08,36243,B,T,9.452312477878845,0.009314745308376114,2167.11
9291,LKOH,2007-10-08,36266,B,T,-0.004533019468124848,0.042982809609874655,2168.0
9298,LKOH,2007-10-08,36287,B,T,0.0,0.003683980629636904,2168.0
9304,LKOH,2007-10-08,36306,B,T,4.748364284266547e-05,0.0027341825784988455,2167.01
9316,LKOH,2007-10-08,36367,B,T,0.04147847727901608,0.03034606999152404,2169.8
9322,LKOH,2007-10-08,36394,B,T,0.10634129176997399,0.0068322245734623276,2170.1
9323,LKOH,2007-10-08,36396,B,T,0.0230361667818475,0.006171198392032651,2170.5
9327,LKOH,2007-10-08,36415,S,T,-0.17985713761276834,0.0018320676585509206,2170.5
9333,LKOH,2007-10-08,36450,B,T,0.08870211769907588,0.0012974798369277142,2172.6
9336,LKOH,2007-10-08,36464,B,T,0.7810230160689232,0.006080254876910597,2172.44
9350,LKOH,2007-10-08,36542,S,T,-4.524572581535511,0.015824280298276084,2174.49
9351,LKOH,2007-10-08,36549,S,T,1.1773362766740207,0.0364357432928921,2174.4
9357,LKOH,2007-10-08,36580,S,T,-0.004599816007355522,0.00012413948004484627,2174.0
9360,LKOH,2007-10-08,36594,B,T,0.0004849705674293998,0.007189931943512486,2173.08
9362,LKOH,2007-10-08,36598,S,T,-1.9565099940479511,0.0029033821442722785,2173.8
9363,LKOH,2007-10-08,36602,S,T,-4.828284950750284,0.000610728181477762,2174.0
9380,LKOH,2007-10-08,36730,B,T,-0.018724756658680227,0.03570779575491306,2173.98
9398,LKOH,2007-10-08,36812,B,T,0.05879976889133152,0.015652153469539687,2173.1
9404,LKOH,2007-10-08,36844,B,T,20.466623089015687,0.031946979451980585,2173.11
9423,LKOH,2007-10-08,36977,S,T,-5.004045874601076,0.003923798700401003,2174.0
9427,LKOH,2007-10-08,36996,B,T,100.0,0.004154046980832597,2174.01
9439,LKOH,2007-10-08,37053,S,T,-8.246194856583358,0.0015300546409990224,2175.99
9459,LKOH,2007-10-08,37160,B,T,96.15462458066678,0.07513088908651795,2174.01
9462,LKOH,2007-10-08,37173,S,T,0.002298903423075561,0.16753617488399442,2174.95
9482,LKOH,2007-10-08,37248,B,T,3.229814217773093,0.00726281681150921,2173.2
9505,LKOH,2007-10-08,37360,S,T,-26.22916886447137,0.0029452982527085362,2173.99
9507,LKOH,2007-10-08,37366,S,T,-0.12120425854074011,0.005429535405572282,2174.1
9510,LKOH,2007-10-08,37378,B,T,7.379901430043975,0.00061491204560753,2169.3
9511,LKOH,2007-10-08,37381,S,T,0.005980145915544441,0.013302033444809461,2173.86
9512,LKOH,2007-10-08,37386,S,T,-4.0175809461500505,0.0004737771435360005,2175.01
9516,LKOH,2007-10-08,37402,S,T,-8.969061196797997,0.05661425065208049,2173.9
9528,LKOH,2007-10-08,37448,S,T,0.07176736333147529,0.07518327605474791,2173.69
9534,LKOH,2007-10-08,37501,B,T,0.0011970390778104738,0.05723587010431175,2172.09
9538,LKOH,2007-10-08,37510,S,T,-2.092730322222664,0.0038606478002096017,2173.0
9550,LKOH,2007-10-08,37553,B,T,82.97701470287367,5.7561942526754106e-05,2172.14
9554,LKOH,2007-10-08,37565,S,T,-11.005914280461308,0.004278803600699592,2173.59
9564,LKOH,2007-10-08,37600,B,T,1.6060423355539595,0.0002426265963484619,2172.2
9588,LKOH,2007-10-08,37705,B,T,0.04555934449766367,0.0036000364014908935,2172.99
9604,LKOH,2007-10-08,37787,B,T,0.013816607562298248,0.0009926141041384539,2171.3
9606,LKOH,2007-10-08,37791,B,T,100.00000000000001,0.0016198470327213718,2171.24
9614,LKOH,2007-10-08,37813,S,T,-100.0,0.0005868954553751822,2173.0
9615,LKOH,2007-10-08,37815,B,T,3.936194724259664,0.0008402617590630327,2172.33
9618,LKOH,2007-10-08,37822,B,T,0.0012140435841418052,0.002336252597232804,2173.35
9630,LKOH,2007-10-08,37867,B,T,83.34875683506675,0.0004353682721721787,2172.01
9652,LKOH,2007-10-08,37959,B,T,0.0009203780913190771,0.016052876685379365,2173.02
9680,LKOH,2007-10-08,38056,B,T,-0.0008712014838537109,0.005484130293055368,2173.5
9689,LKOH,2007-10-08,38089,B,T,1.1980406125181224,0.0002772483432643921,2172.01
9690,LKOH,2007-10-08,38092,S,T,-0.4520737588211718,0.0043662278460784975,2173.0
9699,LKOH,2007-10-08,38126,B,T,28.356791835826254,0.003314546575926294,2171.51
9711,LKOH,2007-10-08,38161,S,T,-100.0,0.005788078594243437,2171.84
9732,LKOH,2007-10-08,38259,B,T,0.0,0.004810491040518964,2173.0
9742,LKOH,2007-10-08,38300,B,T,-0.00046040727628664403,0.004931472831120246,2171.99
9749,LKOH,2007-10-08,38355,B,T,0.9106731076550156,0.0006583379943387696,2172.1
9760,LKOH,2007-10-08,38391,B,T,2.9171365787301293,0.0008314378982114634,2171.11
9770,LKOH,2007-10-08,38431,S,T,-0.19226427255985284,0.009665408960950953,2172.0
9780,LKOH,2007-10-08,38476,S,T,0.0,0.0004902383223957096,2172.6
9782,LKOH,2007-10-08,38481,B,T,0.08433360261527326,0.007323205487865045,2172.1
9793,LKOH,2007-10-08,38556,B,T,0.0011472409897134322,0.005425101200706435,2172.73
9803,LKOH,2007-10-08,38604,S,T,-15.613391049822877,0.00010232935932531129,2173.7
9805,LKOH,2007-10-08,38609,B,T,0.39920286037961716,0.0019048121262536957,2173.11
9807,LKOH,2007-10-08,38616,S,T,0.0,0.0004077022203099055,2173.0
9810,LKOH,2007-10-08,38636,S,T,-11.76467881215993,0.0074235133769183625,2173.0
9818,LKOH,2007-10-08,38679,B,T,87.72073056256879,0.0005567046240286745,2168.0
9824,LKOH,2007-10-08,38718,S,T,-19.99400952025474,0.004274707261250597,2170.11
9854,LKOH,2007-10-08,38819,S,T,0.03663378494536255,0.01896738318380757,2172.0
9875,LKOH,2007-10-08,38892,B,T,1.8213690870969061,0.0034363249550660936,2168.31
9884,LKOH,2007-10-08,38935,B,T,0.11862396204033215,9.867122895978602e-05,2169.0
